Subject	Group	Condition	File	Train	BeatNb	BeatInstant	TapInstant
13	1	2	9	3	7	27.49875	27.4171
13	1	2	9	3	8	27.9988	27.91425
13	1	2	9	4	1	28.49875	28.20345
13	1	2	9	4	2	28.99875	28.5325
13	1	2	9	4	3	29.49875	28.9898
13	1	2	9	4	4	29.99875	29.47685
13	1	2	11	1	1	2.4769	0.01265
13	1	2	11	1	2	3.06215	0.31725
13	1	2	11	1	3	3.37165	0.671
13	1	2	11	1	4	5.05285	0.9726
13	1	2	11	1	5	5.55285	1.2846
13	1	2	11	1	6	6.05285	1.7551
13	1	2	11	1	7	6.55285	2.0601
13	1	2	11	1	8	7.05285	2.5869
13	1	2	11	1	9	7.55285	2.98255
13	1	2	11	1	10	8.05285	3.2861
13	1	2	11	1	11	8.5529	3.60105
13	1	2	11	1	12	9.0529	3.9423
13	1	2	11	1	13	9.5529	4.4532
13	1	2	11	1	14	10.05195	4.7533
13	1	2	11	1	15	10.55195	5.05535
13	1	2	11	1	16	11.05195	5.38395
13	1	2	11	1	17	11.55195	5.7599
13	1	2	11	1	18	12.05195	6.1253
13	1	2	11	1	19	12.55345	6.4384
13	1	2	11	2	1	13.05195	13.03055
13	1	2	11	2	2	13.55195	13.47675
13	1	2	11	2	3	14.05195	14.0188
13	1	2	11	2	4	14.55195	14.52975
13	1	2	11	2	5	15.05195	15.0411
13	1	2	11	2	6	15.55195	15.53085
13	1	2	11	2	7	16.05195	16.0035
13	1	2	11	2	8	16.55345	16.5053
13	1	2	11	3	1	17.05195	16.76875
13	1	2	11	3	2	17.55195	17.0957
13	1	2	11	3	3	18.05195	17.53435
13	1	2	11	3	4	18.55195	18.0145
13	1	2	11	3	5	19.05195	18.5259
13	1	2	11	3	6	19.55195	19.0144
13	1	2	11	3	7	20.05195	19.5395
13	1	2	11	3	8	20.55345	19.99135
13	1	2	11	4	1	21.05195	20.7496
13	1	2	11	4	2	21.55195	21.0863
13	1	2	11	4	3	22.0529	21.54565
13	1	2	11	4	4	22.5529	22.0013
13	1	2	11	4	5	23.0529	22.5072
13	1	2	11	4	6	23.5529	23.00495
13	1	2	11	4	7	24.0529	23.47565
13	1	2	11	4	8	24.55295	23.94545
13	1	2	11	5	1	25.0529	24.7276
13	1	2	11	5	2	25.5529	25.07335
13	1	2	11	5	3	26.0529	25.51385
13	1	2	11	5	4	26.55295	25.9722
13	1	2	11	5	5	27.0529	26.44515
13	1	2	11	5	6	27.552	27.0463
13	1	2	11	5	7	28.052	27.51255
14	2	1	17	1	1	5.2884	4.68045
14	2	1	17	1	2	5.9314	4.99195
14	2	1	17	1	3	6.4001	5.296
14	2	1	17	1	4	6.8801	5.59625
14	2	1	17	1	5	7.2884	5.9121
14	2	1	17	1	6	7.84205	6.216
14	2	1	17	1	7	8.48055	6.5246
14	2	1	17	1	8	9.14475	6.8383
14	2	1	17	1	9	9.46355	7.1484
14	2	1	17	1	10	9.9863	7.46325
14	2	1	17	1	11	10.3125	7.7634
14	2	1	17	1	12	10.65685	8.0751
14	2	1	17	1	13	11.0083	8.3763
14	2	1	17	1	14	11.42505	8.6927
14	2	1	17	1	15	11.8361	9.27775
14	2	1	17	1	16	12.28805	9.57795
14	2	1	17	1	17	12.5903	10.0912
14	2	1	17	1	18	13.01125	10.4888
14	2	1	17	1	19	13.31165	11.61645
14	2	1	17	1	20	13.76825	13.06705
